CODIGO;TITULO;
141410;Comerciante varejista;"INSERT INTO states (code, title) VALUES ('141410','Comerciante varejista');"
141415;Gerente de loja e supermercado;"INSERT INTO states (code, title) VALUES ('141415','Gerente de loja e supermercado');"
141420;Gerente de operações de serviços de assistência técnica;"INSERT INTO states (code, title) VALUES ('141420','Gerente de operações de serviços de assistência técnica');"
141505;Gerente de hotel;"INSERT INTO states (code, title) VALUES ('141505','Gerente de hotel');"
141525;Gerente de turismo;"INSERT INTO states (code, title) VALUES ('141525','Gerente de turismo');"
141510;Gerente de restaurante;"INSERT INTO states (code, title) VALUES ('141510','Gerente de restaurante');"
141520;Gerente de pensão;"INSERT INTO states (code, title) VALUES ('141520','Gerente de pensão');"
141515;Gerente de bar;"INSERT INTO states (code, title) VALUES ('141515','Gerente de bar');"
141615;Gerente de logística (armazenagem e distribuição);"INSERT INTO states (code, title) VALUES ('141615','Gerente de logística (armazenagem e distribuição)');"
141605;Gerente de operações de transportes;"INSERT INTO states (code, title) VALUES ('141605','Gerente de operações de transportes');"
141610;Gerente de operações de correios e telecomunicações;"INSERT INTO states (code, title) VALUES ('141610','Gerente de operações de correios e telecomunicações');"
141720;Gerente de crédito e cobrança;"INSERT INTO states (code, title) VALUES ('141720','Gerente de crédito e cobrança');"
141705;Gerente de produtos bancários;"INSERT INTO states (code, title) VALUES ('141705','Gerente de produtos bancários');"
141710;Gerente de agência;"INSERT INTO states (code, title) VALUES ('141710','Gerente de agência');"
141735;Gerente de recuperação de crédito;"INSERT INTO states (code, title) VALUES ('141735','Gerente de recuperação de crédito');"
141730;Gerente de crédito rural;"INSERT INTO states (code, title) VALUES ('141730','Gerente de crédito rural');"
141725;Gerente de crédito imobiliário;"INSERT INTO states (code, title) VALUES ('141725','Gerente de crédito imobiliário');"
141715;Gerente de câmbio e comércio exterior;"INSERT INTO states (code, title) VALUES ('141715','Gerente de câmbio e comércio exterior');"
142110;Gerente de riscos;"INSERT INTO states (code, title) VALUES ('142110','Gerente de riscos');"
142120;Tecnólogo em gestão administrativo- financeira;"INSERT INTO states (code, title) VALUES ('142120','Tecnólogo em gestão administrativo- financeira');"
142105;Gerente administrativo;"INSERT INTO states (code, title) VALUES ('142105','Gerente administrativo');"
142115;Gerente financeiro;"INSERT INTO states (code, title) VALUES ('142115','Gerente financeiro');"
142205;Gerente de recursos humanos;"INSERT INTO states (code, title) VALUES ('142205','Gerente de recursos humanos');"
142210;Gerente de departamento pessoal;"INSERT INTO states (code, title) VALUES ('142210','Gerente de departamento pessoal');"
142330;Analista de negócios;"INSERT INTO states (code, title) VALUES ('142330','Analista de negócios');"
142325;Relações públicas;"INSERT INTO states (code, title) VALUES ('142325','Relações públicas');"
142340;Ouvidor;"INSERT INTO states (code, title) VALUES ('142340','Ouvidor');"
142335;Analista de pesquisa de mercado;"INSERT INTO states (code, title) VALUES ('142335','Analista de pesquisa de mercado');"
142320;Gerente de vendas;"INSERT INTO states (code, title) VALUES ('142320','Gerente de vendas');"
142315;Gerente de marketing;"INSERT INTO states (code, title) VALUES ('142315','Gerente de marketing');"
142310;Gerente de comunicação;"INSERT INTO states (code, title) VALUES ('142310','Gerente de comunicação');"
142305;Gerente comercial;"INSERT INTO states (code, title) VALUES ('142305','Gerente comercial');"
142415;Gerente de almoxarifado;"INSERT INTO states (code, title) VALUES ('142415','Gerente de almoxarifado');"
142405;Gerente de compras;"INSERT INTO states (code, title) VALUES ('142405','Gerente de compras');"
142410;Gerente de suprimentos;"INSERT INTO states (code, title) VALUES ('142410','Gerente de suprimentos');"
142530;Gerente de suporte técnico de tecnologia da informação;"INSERT INTO states (code, title) VALUES ('142530','Gerente de suporte técnico de tecnologia da informação');"
142505;Gerente de rede;"INSERT INTO states (code, title) VALUES ('142505','Gerente de rede');"
142520;Gerente de projetos de tecnologia da informação;"INSERT INTO states (code, title) VALUES ('142520','Gerente de projetos de tecnologia da informação');"
142515;Gerente de produção de tecnologia da informação;"INSERT INTO states (code, title) VALUES ('142515','Gerente de produção de tecnologia da informação');"
142535;Tecnólogo em gestão da tecnologia da informação;"INSERT INTO states (code, title) VALUES ('142535','Tecnólogo em gestão da tecnologia da informação');"
142525;Gerente de segurança de tecnologia da informação;"INSERT INTO states (code, title) VALUES ('142525','Gerente de segurança de tecnologia da informação');"
142510;Gerente de desenvolvimento de sistemas;"INSERT INTO states (code, title) VALUES ('142510','Gerente de desenvolvimento de sistemas');"
142605;Gerente de pesquisa e desenvolvimento (p&d);"INSERT INTO states (code, title) VALUES ('142605','Gerente de pesquisa e desenvolvimento (p&d)');"
